ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;TP;FP;0.9;697;415;1112;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;721;404;1125;10000
2;daikon.inv.unary.string.OneOfString;TP;FP;0.95;637;333;970;10000
3;daikon.inv.unary.scalar.NonZero;FP;TP;0.95;583;326;909;10000
4;daikon.inv.unary.sequence.EltNonZero;FP;TP;0.95;593;288;881;10000
5;daikon.inv.unary.string.OneOfString;TP;TP;0.9;651;355;1006;10000
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;832;554;1386;10000
7;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;611;360;971;10000
8;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;656;413;1069;10000
9;daikon.inv.unary.string.IsUrl;TP;TP;0.95;996;339;1335;10000
10;daikon.inv.unary.string.IsNumeric;TP;FP;0.9;634;384;1018;10000
11;daikon.inv.unary.string.IsNumeric;TP;FP;0.95;645;405;1050;10000
12;daikon.inv.unary.string.IsNumeric;TP;FP;0.95;645;381;1026;10000
13;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;652;402;1054;10000
14;daikon.inv.unary.string.IsNumeric;TP;FP;0.85;626;463;1089;10000
15;daikon.inv.unary.string.IsNumeric;TP;FP;0.95;626;398;1024;10000
16;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;647;393;1040;10000
17;daikon.inv.unary.string.IsNumeric;TP;FP;0.95;634;383;1017;10000
18;daikon.inv.unary.string.OneOfString;FP;FP;0.95;653;337;990;1000
