System;Operation;API-Operation;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-3.5;77;45;148;6;276;0.4420289855072464;0.3422222222222222;0.927710843373494;0.5
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-3.5;170;2;2;30;204;0.8431372549019608;0.9883720930232558;0.85;0.9139784946236559
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-3.5;132;4;32;5;173;0.7861271676300579;0.8048780487804879;0.9635036496350365;0.8770764119601329
Marvel;getComicById;Marvel-getComicById;GPT-3.5;90;41;177;11;319;0.4106583072100313;0.33707865168539325;0.8910891089108911;0.4891304347826087
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-3.5;14;0;4;1;19;0.7368421052631579;0.7777777777777778;0.9333333333333333;0.8484848484848485
OMDb;BySearch;OMDb-BySearch;GPT-3.5;6;1;2;2;11;0.6363636363636364;0.75;0.75;0.75
Spotify;createPlaylist;Spotify-createPlaylist;GPT-3.5;44;0;0;4;48;0.9166666666666666;1.0;0.9166666666666666;0.9565217391304348
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-3.5;62;12;26;3;103;0.7184466019417476;0.7045454545454546;0.9538461538461539;0.8104575163398693
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-3.5;55;6;25;1;87;0.7011494252873564;0.6875;0.9821428571428571;0.8088235294117647
Yelp;getBusinesses;Yelp-getBusinesses;GPT-3.5;23;7;58;1;89;0.33707865168539325;0.2839506172839506;0.9583333333333334;0.4380952380952381
YouTube;listVideos;YouTube-listVideos;GPT-3.5;110;60;210;22;402;0.4228855721393035;0.34375;0.8333333333333334;0.48672566371681414
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-4o;80;163;30;3;276;0.8804347826086957;0.7272727272727273;0.963855421686747;0.8290155440414507
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-4o;174;3;1;26;204;0.8676470588235294;0.9942857142857143;0.87;0.928
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-4o;132;17;19;5;173;0.861271676300578;0.8741721854304636;0.9635036496350365;0.9166666666666666
Marvel;getComicById;Marvel-getComicById;GPT-4o;96;137;81;5;319;0.7304075235109718;0.5423728813559322;0.9504950495049505;0.6906474820143885
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-4o;12;2;2;3;19;0.7368421052631579;0.8571428571428571;0.8;0.8275862068965517
OMDb;BySearch;OMDb-BySearch;GPT-4o;6;3;0;2;11;0.8181818181818182;1.0;0.75;0.8571428571428571
Spotify;createPlaylist;Spotify-createPlaylist;GPT-4o;42;0;0;6;48;0.875;1.0;0.875;0.9333333333333333
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-4o;64;21;17;1;103;0.8252427184466019;0.7901234567901234;0.9846153846153847;0.8767123287671232
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-4o;54;22;9;2;87;0.8735632183908046;0.8571428571428571;0.9642857142857143;0.907563025210084
Yelp;getBusinesses;Yelp-getBusinesses;GPT-4o;23;38;27;1;89;0.6853932584269663;0.46;0.9583333333333334;0.6216216216216216
YouTube;listVideos;YouTube-listVideos;GPT-4o;81;227;43;51;402;0.7661691542288557;0.6532258064516129;0.6136363636363636;0.6328125
AmadeusHotel;getMultiHotelOffers;AmadeusHotel-getMultiHotelOffers;GPT-4o-mini;48;181;12;35;276;0.8297101449275363;0.8;0.5783132530120482;0.6713286713286714
GitHub;createOrganizationRepository;GitHub-createOrganizationRepository;GPT-4o-mini;144;4;0;56;204;0.7254901960784313;1.0;0.72;0.8372093023255814
GitHub;getOrganizationRepositories;GitHub-getOrganizationRepositories;GPT-4o-mini;126;21;15;11;173;0.8497109826589595;0.8936170212765957;0.9197080291970803;0.9064748201438849
Marvel;getComicById;Marvel-getComicById;GPT-4o-mini;62;169;49;39;319;0.7241379310344828;0.5585585585585585;0.6138613861386139;0.5849056603773585
OMDb;ByIdOrTitle;OMDb-ByIdOrTitle;GPT-4o-mini;4;2;2;11;19;0.3157894736842105;0.6666666666666666;0.26666666666666666;0.38095238095238093
OMDb;BySearch;OMDb-BySearch;GPT-4o-mini;4;2;1;4;11;0.5454545454545454;0.8;0.5;0.6153846153846154
Spotify;createPlaylist;Spotify-createPlaylist;GPT-4o-mini;28;0;0;20;48;0.5833333333333334;1.0;0.5833333333333334;0.7368421052631579
Spotify;getAlbumTracks;Spotify-getAlbumTracks;GPT-4o-mini;42;34;4;23;103;0.7378640776699029;0.9130434782608695;0.6461538461538462;0.7567567567567568
Spotify;getArtistAlbums;Spotify-getArtistAlbums;GPT-4o-mini;42;27;4;14;87;0.7931034482758621;0.9130434782608695;0.75;0.8235294117647058
Yelp;getBusinesses;Yelp-getBusinesses;GPT-4o-mini;17;47;18;7;89;0.7191011235955056;0.4857142857142857;0.7083333333333334;0.576271186440678
YouTube;listVideos;YouTube-listVideos;GPT-4o-mini;64;246;24;68;402;0.7711442786069652;0.7272727272727273;0.48484848484848486;0.5818181818181818
