ID;invariantType;classification;GPT_verdict;promptTokens;completionTokens;totalTokens
0;daikon.inv.unary.string.OneOfString;TP;FP;413;382;795
1;daikon.inv.binary.twoString.StringEqual;TP;FP;374;359;733
2;daikon.inv.unary.string.OneOfString;TP;FP;377;251;628
3;daikon.inv.unary.scalar.NonZero;FP;FP;356;349;705
4;daikon.inv.unary.sequence.EltNonZero;FP;FP;366;439;805
5;daikon.inv.unary.string.OneOfString;TP;FP;379;289;668
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;375;432;807
7;daikon.inv.unary.string.FixedLengthString;TP;FP;351;255;606
8;daikon.inv.unary.string.FixedLengthString;TP;FP;349;375;724
9;daikon.inv.unary.string.IsUrl;TP;FP;386;341;727
10;daikon.inv.unary.string.IsNumeric;TP;FP;342;371;713
11;daikon.inv.unary.string.IsNumeric;TP;FP;343;324;667
12;daikon.inv.unary.string.IsNumeric;TP;FP;343;294;637
13;daikon.inv.unary.string.FixedLengthString;TP;FP;349;316;665
14;daikon.inv.unary.string.IsNumeric;TP;FP;339;324;663
15;daikon.inv.unary.string.IsNumeric;TP;FP;339;338;677
16;daikon.inv.unary.string.FixedLengthString;TP;FP;348;328;676
17;daikon.inv.unary.string.IsNumeric;TP;FP;342;271;613
18;daikon.inv.unary.string.OneOfString;FP;FP;378;346;724
