ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;TP;TP;0.9;702;244;946;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;1.0;725;228;953;10000
2;daikon.inv.unary.string.OneOfString;TP;TP;1.0;640;234;874;10000
3;daikon.inv.unary.scalar.NonZero;FP;TP;0.95;587;222;809;10000
4;daikon.inv.unary.sequence.EltNonZero;FP;TP;1.0;597;257;854;10000
5;daikon.inv.unary.string.OneOfString;TP;TP;0.95;654;196;850;10000
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;814;218;1032;10000
7;daikon.inv.unary.string.FixedLengthString;TP;TP;0.9;615;253;868;10000
8;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;660;250;910;10000
9;daikon.inv.unary.string.IsUrl;TP;TP;1.0;1053;171;1224;10000
10;daikon.inv.unary.string.IsNumeric;TP;TP;0.9;638;175;813;10000
11;daikon.inv.unary.string.IsNumeric;TP;TP;0.9;649;245;894;10000
12;daikon.inv.unary.string.IsNumeric;TP;TP;0.95;645;212;857;10000
13;daikon.inv.unary.string.FixedLengthString;TP;FP;0.9;660;272;932;10000
14;daikon.inv.unary.string.IsNumeric;TP;TP;0.9;636;221;857;10000
15;daikon.inv.unary.string.IsNumeric;TP;TP;0.95;630;220;850;10000
16;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;651;231;882;10000
17;daikon.inv.unary.string.IsNumeric;TP;TP;0.9;638;238;876;10000
18;daikon.inv.unary.string.OneOfString;FP;TP;0.9;658;331;989;1000
