ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.string.OneOfString;TP;TP;0.95;697;468;1165;10000
1;daikon.inv.binary.twoString.StringEqual;TP;TP;0.95;721;461;1182;10000
2;daikon.inv.unary.string.OneOfString;TP;FP;0.8;637;482;1119;10000
3;daikon.inv.unary.scalar.NonZero;FP;TP;0.95;583;376;959;10000
4;daikon.inv.unary.sequence.EltNonZero;FP;TP;0.85;593;490;1083;10000
5;daikon.inv.unary.string.OneOfString;TP;TP;0.95;651;368;1019;10000
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;809;476;1285;10000
7;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;611;430;1041;10000
8;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;656;426;1082;10000
9;daikon.inv.unary.string.IsUrl;TP;TP;0.95;1016;393;1409;10000
10;daikon.inv.unary.string.IsNumeric;TP;TP;0.95;634;432;1066;10000
11;daikon.inv.unary.string.IsNumeric;TP;TP;0.95;645;451;1096;10000
12;daikon.inv.unary.string.IsNumeric;TP;FP;0.9;641;432;1073;10000
13;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;656;507;1163;10000
14;daikon.inv.unary.string.IsNumeric;TP;TP;0.95;626;440;1066;10000
15;daikon.inv.unary.string.IsNumeric;TP;TP;0.9;626;490;1116;10000
16;daikon.inv.unary.string.FixedLengthString;TP;FP;0.8;647;414;1061;10000
17;daikon.inv.unary.string.IsNumeric;TP;TP;0.95;634;344;978;10000
18;daikon.inv.unary.string.OneOfString;FP;FP;0.95;653;482;1135;1000
