systemOperation;ID;invariantType;invariantCategory;systemOperation-InvariantType;systemOperation-InvariantCategory;classification;GPT_verdict;result;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations;GPT_Model
Marvel_getComicById;0;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;TP;FP;0.9;785;256;1041;1000;GPT-3.5
Marvel_getComicById;1;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;TP;TP;TP;0.9;816;248;1064;10000;GPT-3.5
Marvel_getComicById;2;daikon.inv.unary.scalar.LowerBoundFloat;Specific values;Marvel_getComicById-daikon.inv.unary.scalar.LowerBoundFloat;Marvel_getComicById-Specific values;TP;TP;TP;0.9;805;287;1092;10000;GPT-3.5
Marvel_getComicById;3;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;TP;FP;0.9;845;231;1076;500;GPT-3.5
Marvel_getComicById;4;daikon.inv.unary.string.OneOfString;Specific values;Marvel_getComicById-daikon.inv.unary.string.OneOfString;Marvel_getComicById-Specific values;FP;TP;FP;0.9;799;236;1035;10000;GPT-3.5
Marvel_getComicById;5;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.95;840;273;1113;10000;GPT-3.5
Marvel_getComicById;6;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;TP;TP;TP;0.9;1099;224;1323;10000;GPT-3.5
Marvel_getComicById;7;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.9;863;277;1140;50;GPT-3.5
Marvel_getComicById;8;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.9;1042;249;1291;50;GPT-3.5
Marvel_getComicById;9;daikon.inv.binary.twoScalar.IntEqual;Arithmetic comparisons;Marvel_getComicById-daikon.inv.binary.twoScalar.IntEqual;Marvel_getComicById-Arithmetic comparisons;FP;TP;FP;0.9;875;213;1088;100;GPT-3.5
