systemOperation;ID;invariantType;classification;GPT_verdict;result;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations;GPT_Model
Marvel_getComicById;0;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;785;256;1041;1000;GPT-3.5
Marvel_getComicById;1;daikon.inv.unary.string.OneOfString;TP;TP;TP;0.9;816;248;1064;10000;GPT-3.5
Marvel_getComicById;2;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;TP;0.9;805;287;1092;10000;GPT-3.5
Marvel_getComicById;3;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;845;231;1076;500;GPT-3.5
Marvel_getComicById;4;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;799;236;1035;10000;GPT-3.5
Marvel_getComicById;5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.95;840;273;1113;10000;GPT-3.5
Marvel_getComicById;6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;1099;224;1323;10000;GPT-3.5
Marvel_getComicById;7;daikon.inv.binary.twoScalar.IntEqual;FP;TP;FP;0.9;863;277;1140;50;GPT-3.5
Marvel_getComicById;8;daikon.inv.binary.twoScalar.IntEqual;FP;TP;FP;0.9;1042;249;1291;50;GPT-3.5
Marvel_getComicById;9;daikon.inv.binary.twoScalar.IntEqual;FP;TP;FP;0.9;875;213;1088;100;GPT-3.5
Marvel_getComicById;10;daikon.inv.binary.twoScalar.IntEqual;FP;TP;FP;0.9;822;219;1041;100;GPT-3.5
Marvel_getComicById;11;daikon.inv.binary.twoScalar.IntEqual;FP;TP;FP;0.9;831;271;1102;10000;GPT-3.5
Marvel_getComicById;12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;TN;0.9;804;307;1111;50;GPT-3.5
Marvel_getComicById;13;daikon.inv.binary.twoScalar.IntEqual;FP;TP;FP;0.9;1015;264;1279;10000;GPT-3.5
Marvel_getComicById;14;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.9;788;232;1020;10000;GPT-3.5
Marvel_getComicById;15;daikon.inv.unary.scalar.LowerBoundFloat;FP;TP;FP;0.9;778;246;1024;500;GPT-3.5
Marvel_getComicById;16;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;811;289;1100;50;GPT-3.5
Marvel_getComicById;17;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;772;197;969;10000;GPT-3.5
Marvel_getComicById;18;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.95;782;178;960;10000;GPT-3.5
Marvel_getComicById;19;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;744;198;942;10000;GPT-3.5
Marvel_getComicById;20;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.95;754;206;960;10000;GPT-3.5
Marvel_getComicById;21;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;688;296;984;10000;GPT-3.5
Marvel_getComicById;22;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;754;249;1003;10000;GPT-3.5
Marvel_getComicById;23;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.95;764;217;981;10000;GPT-3.5
Marvel_getComicById;24;daikon.inv.unary.scalar.NonZero;TP;TP;TP;1.0;752;210;962;10000;GPT-3.5
Marvel_getComicById;25;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;762;267;1029;10000;GPT-3.5
Marvel_getComicById;26;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;760;261;1021;10000;GPT-3.5
Marvel_getComicById;27;daikon.inv.unary.sequence.OneOfSequence;FP;TP;FP;0.9;784;234;1018;100;GPT-3.5
Marvel_getComicById;28;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;744;251;995;10000;GPT-3.5
Marvel_getComicById;29;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;754;245;999;10000;GPT-3.5
Marvel_getComicById;30;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;746;226;972;10000;GPT-3.5
Marvel_getComicById;31;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;756;226;982;10000;GPT-3.5
Marvel_getComicById;32;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;688;232;920;10000;GPT-3.5
Marvel_getComicById;33;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;772;234;1006;1000;GPT-3.5
Marvel_getComicById;34;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;739;197;936;10000;GPT-3.5
Marvel_getComicById;35;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;749;219;968;10000;GPT-3.5
Marvel_getComicById;36;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;690;198;888;10000;GPT-3.5
Marvel_getComicById;37;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.95;805;300;1105;10000;GPT-3.5
Marvel_getComicById;38;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;769;213;982;10000;GPT-3.5
Marvel_getComicById;39;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;779;236;1015;10000;GPT-3.5
Marvel_getComicById;40;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;688;212;900;10000;GPT-3.5
Marvel_getComicById;41;daikon.inv.unary.scalar.LowerBound;FP;TP;FP;0.95;793;228;1021;10000;GPT-3.5
Marvel_getComicById;42;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;767;198;965;10000;GPT-3.5
Marvel_getComicById;43;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;777;238;1015;10000;GPT-3.5
Marvel_getComicById;44;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;689;236;925;10000;GPT-3.5
Marvel_getComicById;45;daikon.inv.unary.scalar.LowerBound;FP;TP;FP;0.9;797;244;1041;500;GPT-3.5
Marvel_getComicById;46;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;769;276;1045;10000;GPT-3.5
Marvel_getComicById;47;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;779;245;1024;10000;GPT-3.5
Marvel_getComicById;48;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;688;248;936;10000;GPT-3.5
Marvel_getComicById;49;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;750;206;956;10000;GPT-3.5
Marvel_getComicById;50;daikon.inv.unary.sequence.OneOfSequence;FP;FP;TN;0.9;774;230;1004;50;GPT-3.5
Marvel_getComicById;51;daikon.inv.unary.scalar.OneOfScalar;FP;TP;FP;0.8;1050;299;1349;500;GPT-3.5
Marvel_getComicById;52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;TN;0.9;1050;254;1304;100;GPT-3.5
Marvel_getComicById;53;daikon.inv.unary.scalar.OneOfScalar;FP;FP;TN;0.9;1214;232;1446;10000;GPT-3.5
Marvel_getComicById;54;daikon.inv.unary.scalar.OneOfScalar;TP;TP;TP;0.9;911;269;1180;10000;GPT-3.5
Marvel_getComicById;55;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;862;251;1113;10000;GPT-3.5
Marvel_getComicById;56;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;842;263;1105;10000;GPT-3.5
